ID_CORRIDA,ano_corrida,round,no_corrida,id_circuito,id_posicao
293,1992,5,"San Marino Grand Prix",21,5
294,1992,6,"Monaco Grand Prix",6,6
295,1992,7,"Canadian Grand Prix",7,7
296,1992,8,"French Grand Prix",8,8
297,1992,9,"British Grand Prix",9,9
298,1992,10,"German Grand Prix",10,10
299,1992,11,"Hungarian Grand Prix",11,11
300,1992,12,"Belgian Grand Prix",13,12
301,1992,13,"Italian Grand Prix",14,13
302,1992,14,"Portuguese Grand Prix",27,14
303,1992,15,"Japanese Grand Prix",22,15
304,1992,16,"Australian Grand Prix",29,0
305,1991,1,"United States Grand Prix",33,0
306,1991,2,"Brazilian Grand Prix",18,0
307,1991,3,"San Marino Grand Prix",21,0
308,1991,4,"Monaco Grand Prix",6,0
309,1991,5,"Canadian Grand Prix",7,1
310,1991,6,"Mexican Grand Prix",32,2
311,1991,7,"French Grand Prix",8,3
312,1991,8,"British Grand Prix",9,4
313,1991,9,"German Grand Prix",10,5
314,1991,10,"Hungarian Grand Prix",11,6
315,1991,11,"Belgian Grand Prix",13,7
316,1991,12,"Italian Grand Prix",14,8
317,1991,13,"Portuguese Grand Prix",27,9
318,1991,14,"Spanish Grand Prix",4,10
319,1991,15,"Japanese Grand Prix",22,11
320,1991,16,"Australian Grand Prix",29,12
321,1990,1,"United States Grand Prix",33,13
322,1990,2,"Brazilian Grand Prix",18,14
323,1990,3,"San Marino Grand Prix",21,15
324,1990,4,"Monaco Grand Prix",6,0
325,1990,5,"Canadian Grand Prix",7,0
326,1990,6,"Mexican Grand Prix",32,0
327,1990,7,"French Grand Prix",34,0
328,1990,8,"British Grand Prix",9,0
329,1990,9,"German Grand Prix",10,1
330,1990,10,"Hungarian Grand Prix",11,2
331,1990,11,"Belgian Grand Prix",13,3
332,1990,12,"Italian Grand Prix",14,4
333,1990,13,"Portuguese Grand Prix",27,5
334,1990,14,"Spanish Grand Prix",26,6
335,1990,15,"Japanese Grand Prix",22,7
336,1990,16,"Australian Grand Prix",29,8
337,2010,1,"Bahrain Grand Prix",3,9
338,2010,2,"Australian Grand Prix",1,10
339,2010,3,"Malaysian Grand Prix",2,11
340,2010,4,"Chinese Grand Prix",17,12
341,2010,5,"Spanish Grand Prix",4,13
342,2010,6,"Monaco Grand Prix",6,14
343,2010,7,"Turkish Grand Prix",5,15
344,2010,8,"Canadian Grand Prix",7,16
345,2010,9,"European Grand Prix",12,17
346,2010,10,"British Grand Prix",9,0
347,2010,11,"German Grand Prix",10,0
348,2010,12,"Hungarian Grand Prix",11,0
349,2010,13,"Belgian Grand Prix",13,1
350,2010,14,"Italian Grand Prix",14,2
351,2010,15,"Singapore Grand Prix",15,3
352,2010,16,"Japanese Grand Prix",22,4
353,2010,17,"Korean Grand Prix",35,5
354,2010,18,"Brazilian Grand Prix",18,6
355,2010,19,"Abu Dhabi Grand Prix",24,7
356,1989,1,"Brazilian Grand Prix",36,8
357,1989,2,"San Marino Grand Prix",21,9
358,1989,3,"Monaco Grand Prix",6,10
359,1989,4,"Mexican Grand Prix",32,11
360,1989,5,"United States Grand Prix",33,12
361,1989,6,"Canadian Grand Prix",7,13
362,1989,7,"French Grand Prix",34,14
363,1989,8,"British Grand Prix",9,15
364,1989,9,"German Grand Prix",10,16
365,1989,10,"Hungarian Grand Prix",11,17
366,1989,11,"Belgian Grand Prix",13,18
367,1989,12,"Italian Grand Prix",14,0
368,1989,13,"Portuguese Grand Prix",27,0
369,1989,14,"Spanish Grand Prix",26,1
370,1989,15,"Japanese Grand Prix",22,2
371,1989,16,"Australian Grand Prix",29,3
372,1988,1,"Brazilian Grand Prix",36,4
373,1988,2,"San Marino Grand Prix",21,5
374,1988,3,"Monaco Grand Prix",6,6
375,1988,4,"Mexican Grand Prix",32,7
376,1988,5,"Canadian Grand Prix",7,8
377,1988,6,"Detroit Grand Prix",37,9
378,1988,7,"French Grand Prix",34,10
379,1988,8,"British Grand Prix",9,11
380,1988,9,"German Grand Prix",10,12
381,1988,10,"Hungarian Grand Prix",11,13
382,1988,11,"Belgian Grand Prix",13,14
383,1988,12,"Italian Grand Prix",14,15
384,1988,13,"Portuguese Grand Prix",27,16
385,1988,14,"Spanish Grand Prix",26,17
386,1988,15,"Japanese Grand Prix",22,0
387,1988,16,"Australian Grand Prix",29,0
388,1987,1,"Brazilian Grand Prix",36,0
389,1987,2,"San Marino Grand Prix",21,0
390,1987,3,"Belgian Grand Prix",13,0
391,1987,4,"Monaco Grand Prix",6,1
392,1987,5,"Detroit Grand Prix",37,2
393,1987,6,"French Grand Prix",34,3
394,1987,7,"British Grand Prix",9,4
395,1987,8,"German Grand Prix",10,5
396,1987,9,"Hungarian Grand Prix",11,6
397,1987,10,"Austrian Grand Prix",23,7
398,1987,11,"Italian Grand Prix",14,8
399,1987,12,"Portuguese Grand Prix",27,9
400,1987,13,"Spanish Grand Prix",26,10
401,1987,14,"Mexican Grand Prix",32,11
402,1987,15,"Japanese Grand Prix",22,12
403,1987,16,"Australian Grand Prix",29,13
404,1986,1,"Brazilian Grand Prix",36,14
405,1986,2,"Spanish Grand Prix",26,15
406,1986,3,"San Marino Grand Prix",21,16
407,1986,4,"Monaco Grand Prix",6,17
408,1986,5,"Belgian Grand Prix",13,18
409,1986,6,"Canadian Grand Prix",7,0
410,1986,7,"Detroit Grand Prix",37,0
411,1986,8,"French Grand Prix",34,0
412,1986,9,"British Grand Prix",38,0
413,1986,10,"German Grand Prix",10,1
414,1986,11,"Hungarian Grand Prix",11,2
415,1986,12,"Austrian Grand Prix",23,3
416,1986,13,"Italian Grand Prix",14,4
417,1986,14,"Portuguese Grand Prix",27,5
418,1986,15,"Mexican Grand Prix",32,6
419,1986,16,"Australian Grand Prix",29,7
420,1985,1,"Brazilian Grand Prix",36,8
421,1985,2,"Portuguese Grand Prix",27,9
422,1985,3,"San Marino Grand Prix",21,10
423,1985,4,"Monaco Grand Prix",6,11
424,1985,5,"Canadian Grand Prix",7,12
425,1985,6,"Detroit Grand Prix",37,13
426,1985,7,"French Grand Prix",34,14
427,1985,8,"British Grand Prix",9,15
428,1985,9,"German Grand Prix",20,16
429,1985,10,"Austrian Grand Prix",23,0
430,1985,11,"Dutch Grand Prix",39,0
431,1985,12,"Italian Grand Prix",14,0
432,1985,13,"Belgian Grand Prix",13,0
433,1985,14,"European Grand Prix",38,0
434,1985,15,"South African Grand Prix",30,0
435,1985,16,"Australian Grand Prix",29,1
436,1984,1,"Brazilian Grand Prix",36,2
437,1984,2,"South African Grand Prix",30,3
438,1984,3,"Belgian Grand Prix",40,4
439,1984,4,"San Marino Grand Prix",21,5
440,1984,5,"French Grand Prix",41,6
441,1984,6,"Monaco Grand Prix",6,7
442,1984,7,"Canadian Grand Prix",7,8
443,1984,8,"Detroit Grand Prix",37,9
444,1984,9,"Dallas Grand Prix",42,10
445,1984,10,"British Grand Prix",38,11
446,1984,11,"German Grand Prix",10,12
447,1984,12,"Austrian Grand Prix",23,13
448,1984,13,"Dutch Grand Prix",39,14
449,1984,14,"Italian Grand Prix",14,0
450,1984,15,"European Grand Prix",20,0
451,1984,16,"Portuguese Grand Prix",27,0
452,1983,1,"Brazilian Grand Prix",36,0
453,1983,2,"United States Grand Prix West",43,0
454,1983,3,"French Grand Prix",34,0
455,1983,4,"San Marino Grand Prix",21,0
456,1983,5,"Monaco Grand Prix",6,0
457,1983,6,"Belgian Grand Prix",13,1
458,1983,7,"Detroit Grand Prix",37,2
459,1983,8,"Canadian Grand Prix",7,3
460,1983,9,"British Grand Prix",9,4
461,1983,10,"German Grand Prix",10,5
462,1983,11,"Austrian Grand Prix",23,6
463,1983,12,"Dutch Grand Prix",39,7
464,1983,13,"Italian Grand Prix",14,8
465,1983,14,"European Grand Prix",38,9
466,1983,15,"South African Grand Prix",30,10
467,1982,1,"South African Grand Prix",30,11
468,1982,2,"Brazilian Grand Prix",36,12
469,1982,3,"United States Grand Prix West",43,13
470,1982,4,"San Marino Grand Prix",21,14
471,1982,5,"Belgian Grand Prix",40,15
472,1982,6,"Monaco Grand Prix",6,16
473,1982,7,"Detroit Grand Prix",37,17
474,1982,8,"Canadian Grand Prix",7,18
475,1982,9,"Dutch Grand Prix",39,19
476,1982,10,"British Grand Prix",38,0
477,1982,11,"French Grand Prix",34,0
478,1982,12,"German Grand Prix",10,0
479,1982,13,"Austrian Grand Prix",23,1
480,1982,14,"Swiss Grand Prix",41,2
481,1982,15,"Italian Grand Prix",14,3
482,1982,16,"Caesars Palace Grand Prix",44,4
483,1981,1,"United States Grand Prix West",43,5
484,1981,2,"Brazilian Grand Prix",36,6
485,1981,3,"Argentine Grand Prix",25,7
486,1981,4,"San Marino Grand Prix",21,8
487,1981,5,"Belgian Grand Prix",40,9
488,1981,6,"Monaco Grand Prix",6,10
489,1981,7,"Spanish Grand Prix",45,11
490,1981,8,"French Grand Prix",41,12
491,1981,9,"British Grand Prix",9,0
492,1981,10,"German Grand Prix",10,0
493,1981,11,"Austrian Grand Prix",23,0
494,1981,12,"Dutch Grand Prix",39,0
495,1981,13,"Italian Grand Prix",14,0
496,1981,14,"Canadian Grand Prix",7,0
497,1981,15,"Caesars Palace Grand Prix",44,0
498,1980,1,"Argentine Grand Prix",25,0
499,1980,2,"Brazilian Grand Prix",18,0
500,1980,3,"South African Grand Prix",30,0
501,1980,4,"United States Grand Prix West",43,1
502,1980,5,"Belgian Grand Prix",40,2
503,1980,6,"Monaco Grand Prix",6,3
504,1980,7,"French Grand Prix",34,4
505,1980,8,"British Grand Prix",38,5
506,1980,9,"German Grand Prix",10,6
507,1980,10,"Austrian Grand Prix",23,7
508,1980,11,"Dutch Grand Prix",39,8
509,1980,12,"Italian Grand Prix",21,9
510,1980,13,"Canadian Grand Prix",7,10
511,1980,14,"United States Grand Prix",46,11
512,1979,1,"Argentine Grand Prix",25,12
513,1979,2,"Brazilian Grand Prix",18,13
514,1979,3,"South African Grand Prix",30,14
515,1979,4,"United States Grand Prix West",43,15
516,1979,5,"Spanish Grand Prix",45,16
517,1979,6,"Belgian Grand Prix",40,17
518,1979,7,"Monaco Grand Prix",6,0
519,1979,8,"French Grand Prix",41,0
520,1979,9,"British Grand Prix",9,0
521,1979,10,"German Grand Prix",10,0
522,1979,11,"Austrian Grand Prix",23,0
523,1979,12,"Dutch Grand Prix",39,1
524,1979,13,"Italian Grand Prix",14,2
525,1979,14,"Canadian Grand Prix",7,3
526,1979,15,"United States Grand Prix",46,4
527,1978,1,"Argentine Grand Prix",25,5
528,1978,2,"Brazilian Grand Prix",36,6
529,1978,3,"South African Grand Prix",30,7
530,1978,4,"United States Grand Prix West",43,8
531,1978,5,"Monaco Grand Prix",6,9
532,1978,6,"Belgian Grand Prix",40,10
533,1978,7,"Spanish Grand Prix",45,11
534,1978,8,"Swedish Grand Prix",47,12
535,1978,9,"French Grand Prix",34,13
536,1978,10,"British Grand Prix",38,14
537,1978,11,"German Grand Prix",10,15
538,1978,12,"Austrian Grand Prix",23,16
539,1978,13,"Dutch Grand Prix",39,17
540,1978,14,"Italian Grand Prix",14,0
541,1978,15,"United States Grand Prix",46,0
542,1978,16,"Canadian Grand Prix",7,0
543,1977,1,"Argentine Grand Prix",25,0
544,1977,2,"Brazilian Grand Prix",18,0
545,1977,3,"South African Grand Prix",30,1
546,1977,4,"United States Grand Prix West",43,2
547,1977,5,"Spanish Grand Prix",45,3
548,1977,6,"Monaco Grand Prix",6,4
549,1977,7,"Belgian Grand Prix",40,5
550,1977,8,"Swedish Grand Prix",47,6
551,1977,9,"French Grand Prix",41,7
552,1977,10,"British Grand Prix",9,8
553,1977,11,"German Grand Prix",10,9
554,1977,12,"Austrian Grand Prix",23,10
555,1977,13,"Dutch Grand Prix",39,11
556,1977,14,"Italian Grand Prix",14,12
557,1977,15,"United States Grand Prix",46,13
558,1977,16,"Canadian Grand Prix",48,14
559,1977,17,"Japanese Grand Prix",16,15
560,1976,1,"Brazilian Grand Prix",18,16
561,1976,2,"South African Grand Prix",30,0
562,1976,3,"United States Grand Prix West",43,0
563,1976,4,"Spanish Grand Prix",45,0
564,1976,5,"Belgian Grand Prix",40,0
565,1976,6,"Monaco Grand Prix",6,0
566,1976,7,"Swedish Grand Prix",47,0
567,1976,8,"French Grand Prix",34,1
568,1976,9,"British Grand Prix",38,2
569,1976,10,"German Grand Prix",20,3
570,1976,11,"Austrian Grand Prix",23,4
571,1976,12,"Dutch Grand Prix",39,5
572,1976,13,"Italian Grand Prix",14,6
573,1976,14,"Canadian Grand Prix",48,7
574,1976,15,"United States Grand Prix",46,8
575,1976,16,"Japanese Grand Prix",16,9
576,1975,1,"Argentine Grand Prix",25,10
577,1975,2,"Brazilian Grand Prix",18,11
578,1975,3,"South African Grand Prix",30,12
579,1975,4,"Spanish Grand Prix",49,13
580,1975,5,"Monaco Grand Prix",6,0
581,1975,6,"Belgian Grand Prix",40,0
582,1975,7,"Swedish Grand Prix",47,0
583,1975,8,"Dutch Grand Prix",39,0
584,1975,9,"French Grand Prix",34,0
585,1975,10,"British Grand Prix",9,0
586,1975,11,"German Grand Prix",20,0
587,1975,12,"Austrian Grand Prix",23,0
588,1975,13,"Italian Grand Prix",14,0
589,1975,14,"United States Grand Prix",46,1
590,1974,1,"Argentine Grand Prix",25,2
591,1974,2,"Brazilian Grand Prix",18,3
592,1974,3,"South African Grand Prix",30,4
593,1974,4,"Spanish Grand Prix",45,5
594,1974,5,"Belgian Grand Prix",50,6
595,1974,6,"Monaco Grand Prix",6,7
596,1974,7,"Swedish Grand Prix",47,8
597,1974,8,"Dutch Grand Prix",39,9
598,1974,9,"French Grand Prix",41,10
599,1974,10,"British Grand Prix",38,11
600,1974,11,"German Grand Prix",20,12
601,1974,12,"Austrian Grand Prix",23,13
602,1974,13,"Italian Grand Prix",14,14
603,1974,14,"Canadian Grand Prix",48,15
604,1974,15,"United States Grand Prix",46,16
605,1973,1,"Argentine Grand Prix",25,17
606,1973,2,"Brazilian Grand Prix",18,18
607,1973,3,"South African Grand Prix",30,0
608,1973,4,"Spanish Grand Prix",49,0
609,1973,5,"Belgian Grand Prix",40,0
610,1973,6,"Monaco Grand Prix",6,0
611,1973,7,"Swedish Grand Prix",47,1
612,1973,8,"French Grand Prix",34,2
613,1973,9,"British Grand Prix",9,3
614,1973,10,"Dutch Grand Prix",39,4
615,1973,11,"German Grand Prix",20,5
616,1973,12,"Austrian Grand Prix",23,6
617,1973,13,"Italian Grand Prix",14,7
618,1973,14,"Canadian Grand Prix",48,8
619,1973,15,"United States Grand Prix",46,9
620,1972,1,"Argentine Grand Prix",25,10
621,1972,2,"South African Grand Prix",30,11
622,1972,3,"Spanish Grand Prix",45,12
623,1972,4,"Monaco Grand Prix",6,13
